auction.closing_timeslot,auction.id,auction.num_closing_timeslot_other_auctions,auction.num_closing_timeslot_category_other_auctions,auction.num_closing_timeslot_subcategory_other_auctions
588.0,37596.0,47.0,"{'Horloges': 4, 'Sieraden': 1}","{'Horloge Dames': 0, 'Horloge Heren': 3, 'Seiko': 0, 'Franck Muller': 0, 'Maurice Lacroix': 0, 'Armband': 1}"
589.0,37596.0,46.0,"{'Horloges': 2, 'Sieraden': 0}","{'Horloge Dames': 0, 'Horloge Heren': 0, 'Seiko': 0, 'Franck Muller': 0, 'Maurice Lacroix': 0, 'Frederique Constant': 0, 'Baume et Mercier': 0, 'Breitling': 0, 'Omega': 0, 'Paul Picot': 0, 'Armband': 0}"
590.0,37596.0,54.0,"{'Horloges': 1, 'Sieraden': 2}","{'Horloge Dames': 0, 'Horloge Heren': 0, 'Seiko': 0, 'Franck Muller': 0, 'Maurice Lacroix': 0, 'Breitling': 0, 'Girard Perregaux': 0, 'Armband': 0}"
591.0,37596.0,43.0,{'Horloges': 5},"{'Horloge Heren': 1, 'Seiko': 0}"
592.0,37596.0,342.0,{},{}
593.0,37596.0,35.0,{},{}
594.0,37596.0,270.0,{},{}
595.0,37596.0,1192.0,{},{}
596.0,37596.0,931.0,{},{}
597.0,37596.0,303.0,{},{}
598.0,37596.0,227.0,{},{}
599.0,37596.0,100.0,{},{}
751.0,37597.0,0.0,{},{}
752.0,37597.0,0.0,{},{}
753.0,37597.0,0.0,{},{}
754.0,37597.0,0.0,{},{}
755.0,37597.0,48.0,{},{}
756.0,37597.0,47.0,{},{}
757.0,37597.0,47.0,{},{}
758.0,37597.0,47.0,{},{}
759.0,37597.0,52.0,{},{}
760.0,37597.0,300.0,{},{}
761.0,37597.0,114.0,{},{}
762.0,37597.0,1132.0,{},{}
763.0,37597.0,1089.0,"{'Horloges': 4, 'Sieraden': 0}","{'Horloge Heren': 0, 'Horloge Dames': 0, 'Seiko': 0, 'Franck Muller': 0, 'Frederique Constant': 0, 'Armband': 0}"
764.0,37597.0,599.0,"{'Horloges': 19, 'Sieraden': 0}","{'Horloge Heren': 0, 'Horloge Dames': 0, 'Seiko': 0, 'Maurice Lacroix': 0, 'Franck Muller': 0, 'Frederique Constant': 0, 'Hublot': 0, 'Armband': 0}"
